Entry,"Pair (event_id, vertex_id)",interactions,stack,segments,trajectories
281,"(80, 1000000004000067)",1,9,2,155
282,"(80, 1000000004000071)",1,5,85,187
283,"(80, 4000015)",1,9,179,851
284,"(80, 1000000004000080)",1,17,14,228
285,"(81, 1000000004000088)",1,6,77,67
286,"(81, 4000024)",1,5,16,236
287,"(81, 1000000004000101)",1,9,2,29
288,"(82, 4000026)",1,123,24,2337
289,"(83, 4000027)",1,8,943,757
290,"(83, 4000028)",1,6,42,1025
291,"(83, 4000029)",1,9,45,1404
292,"(84, 4000032)",1,8,3,1151
293,"(85, 1000000004000180)",1,8,2,14
294,"(85, 1000000004000182)",1,6,3,313
295,"(86, 1000000004000202)",1,11,7,61
296,"(86, 4000041)",1,7,2,1969
297,"(86, 1000000004000216)",1,4,1,5
298,"(86, 1000000004000218)",1,7,5,207
299,"(86, 4000044)",1,26,200,24512
300,"(86, 1000000004000221)",1,9,2,257
301,"(87, 4000046)",1,7,79,28898
302,"(87, 1000000004000238)",1,6,15,138
303,"(87, 1000000004000248)",1,9,43,69
304,"(87, 1000000004000251)",1,12,33,36
305,"(88, 1000000004000254)",1,5,27,177
306,"(88, 1000000004000259)",1,9,1,58
307,"(88, 4000050)",1,14,83,302
308,"(88, 4000052)",1,5,716,686
309,"(89, 1000000004000293)",1,4,183,360
310,"(89, 4000053)",1,7,492,753
311,"(89, 4000054)",1,17,168,11884
312,"(89, 4000055)",1,6,325,442
313,"(90, 4000056)",1,6,32,683
314,"(90, 1000000004000311)",1,6,1198,6869
315,"(90, 1000000004000322)",1,11,8,257
316,"(90, 4000057)",1,26,24,1217
317,"(91, 1000000004000350)",1,8,42,37
318,"(91, 1000000004000351)",1,6,84,498
319,"(91, 1000000004000352)",1,10,3,50
320,"(92, 1000000004000369)",1,16,3,120
321,"(92, 4000061)",1,15,64,2866
322,"(92, 1000000004000371)",1,6,63,373
323,"(92, 1000000004000375)",1,11,3,1496
324,"(93, 1000000004000384)",1,5,33,199
325,"(93, 1000000004000389)",1,10,1847,1358
326,"(93, 1000000004000395)",1,8,190,247
327,"(93, 1000000004000402)",1,8,4,200
328,"(94, 1000000004000410)",1,13,8,234
329,"(94, 1000000004000416)",1,9,8,49
330,"(94, 1000000004000431)",1,6,238,227
331,"(95, 1000000004000443)",1,21,5,50
332,"(95, 4000080)",1,5,417,565
333,"(95, 5000000)",1,8,402,319
334,"(95, 1000000004000461)",1,7,679,634
335,"(96, 1000000004000468)",1,12,26,167
336,"(96, 1000000004000470)",1,9,36,44
337,"(96, 1000000004000477)",1,5,23,127
338,"(96, 5000006)",1,13,1,743
339,"(96, 1000000004000482)",1,11,223,198
340,"(97, 5000007)",1,8,11,427
341,"(97, 1000000004000486)",1,7,3,47
342,"(97, 5000008)",1,7,10104,8886
343,"(97, 5000011)",1,10,101,326
344,"(98, 1000000004000513)",1,11,18,87
345,"(98, 5000012)",1,7,17,44
346,"(98, 1000000004000520)",1,9,311,302
347,"(99, 1000000005000017)",1,9,61,48
348,"(99, 5000016)",1,10,35,7935
349,"(99, 1000000005000024)",1,6,36,38
350,"(100, 1000000005000035)",1,12,106,92
351,"(100, 1000000005000047)",1,11,5,26
352,"(101, 1000000005000050)",1,8,19,39
353,"(101, 5000025)",1,8,1070,1172
354,"(101, 5000026)",1,14,449,6002
355,"(102, 1000000005000095)",1,5,21,109
356,"(102, 1000000005000097)",1,14,5,228
357,"(102, 1000000005000098)",1,9,241,627
358,"(102, 1000000005000101)",1,7,3,135
